time,rain,water_1,water_2,water_3,flow_1,flow_2,flow_3,storage_1,storage_2,storage_3,inflow
2026-05-10 00:10:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 00:20:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 00:30:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 00:40:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 00:50:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 01:00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 01:10:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,37.2
2026-05-10 01:20:00,0.0,0.0,0.0,0.0,2.0,0.0,3.4389837,0.0,0.0,0.0,37.2
2026-05-10 01:30:00,0.0,0.0,0.0,0.0,4.0,0.0,1.0722172,0.0,0.0,0.0,37.2
2026-05-10 01:40:00,0.0,0.0,0.11448354,0.040561926,2.0,0.0,0.00393436,0.0,0.0,0.0,37.2
2026-05-10 01:50:00,0.0,0.0,0.20757884,0.16390674,2.0,0.0,-0.025688997,0.0,0.0,0.0,37.2
2026-05-10 02:00:00,0.0,0.0,0.27400205,0.21620579,2.0,8.0,-0.0013831432,0.0,0.0,0.0,37.2
2026-05-10 02:10:00,0.0,0.0,0.32088923,0.26483488,2.0,8.0,-0.004837692,0.0,0.0,0.0,37.2
2026-05-10 02:20:00,0.0,0.0,0.35649267,0.3115639,2.0,8.0,0.033852488,0.0,0.0,0.0,37.2
2026-05-10 02:30:00,0.0,0.0,0.39987993,0.34623376,2.0,8.0,0.015114448,0.0,0.0,0.0,37.2
