time,rain,water_1,water_2,water_3,flow_1,flow_2,flow_3,storage_1,storage_2,storage_3
2026-05-11 00:00:00,0.0,0.022475788,0.013803397,0.0,0.0,0.0,0.01707016,0.0,0.0,0.0
2026-05-11 00:10:00,0.0,0.022475645,0.0138033135,0.0,0.0,0.0,0.0008240865,0.0,0.0,0.0
2026-05-11 00:20:00,0.0,0.022475507,0.013803231,0.0,0.0,0.0,-0.015667852,0.0,0.0,0.0
2026-05-11 00:30:00,0.0,0.022475371,0.0138031505,0.0,0.0,0.0,0.012347342,0.0,0.0,0.0
2026-05-11 00:40:00,0.0,0.022475239,0.013803072,0.0,0.0,0.0,0.003587276,0.0,0.0,0.0
2026-05-11 00:50:00,0.0,0.02247511,0.013802996,0.0,0.0,0.0,-0.013957281,0.0,0.0,0.0
2026-05-11 01:00:00,0.0,0.022474984,0.013802921,0.0,0.0,0.0,0.008517902,0.0,0.0,0.0
2026-05-11 01:10:00,0.0,0.022474863,0.013802849,0.0,0.0,0.0,0.0053052315,0.0,0.0,0.0
2026-05-11 01:20:00,0.0,0.022474743,0.013802778,0.0,0.0,0.0,-0.012087821,0.0,0.0,0.0
2026-05-11 01:30:00,0.0,0.022474626,0.013802709,0.0,0.0,0.0,-0.018999778,0.0,0.0,0.0
2026-05-11 01:40:00,0.0,0.022474512,0.013802642,0.0,0.0,0.0,0.016896568,0.0,0.0,0.0
2026-05-11 01:50:00,0.0,0.0224744,0.013802576,0.0,0.0,0.0,0.018724674,0.0,0.0,0.0
2026-05-11 02:00:00,0.0,0.022474293,0.013802512,0.0,0.0,0.0,-0.022753568,0.0,0.0,0.0
2026-05-11 02:10:00,0.0,0.022474186,0.013802449,0.0,0.0,0.0,-0.015927069,0.0,0.0,0.0
2026-05-11 02:20:00,0.0,0.022474084,0.013802388,0.0,0.0,0.0,0.031738523,0.0,0.0,0.0
2026-05-11 02:30:00,0.0,0.022473983,0.013802328,0.0,0.0,0.0,0.013896928,0.0,0.0,0.0
2026-05-11 02:40:00,0.0,0.022473885,0.0138022695,0.0,0.0,0.0,-0.035329156,0.0,0.0,0.0
2026-05-11 02:50:00,0.0,0.022473788,0.013802213,0.0,0.0,0.0,0.01725103,0.0,0.0,0.0
2026-05-11 03:00:00,0.0,0.022473695,0.013802157,0.0,0.0,0.0,0.0155069195,0.0,0.0,0.0
2026-05-11 03:10:00,0.0,0.022473603,0.013802103,0.0,0.0,0.0,-0.027225243,0.0,0.0,0.0
2026-05-11 03:20:00,0.0,0.022473512,0.01380205,0.0,0.0,0.0,0.009096031,0.0,0.0,0.0
2026-05-11 03:30:00,0.0,0.022473425,0.0138019975,0.0,0.0,0.0,0.015939834,0.0,0.0,0.0
2026-05-11 03:40:00,0.0,0.022473339,0.013801946,0.0,0.0,0.0,-0.02096367,0.0,0.0,0.0
2026-05-11 03:50:00,0.0,0.022473255,0.013801897,0.0,0.0,0.0,-0.022698114,0.0,0.0,0.0
2026-05-11 04:00:00,0.0,0.022473173,0.0138018485,0.0,0.0,0.0,0.027660392,0.0,0.0,0.0
2026-05-11 04:10:00,0.0,0.022473093,0.013801801,0.0,0.0,0.0,-0.0037396033,0.0,0.0,0.0
2026-05-11 04:20:00,0.0,0.022473015,0.013801754,0.0,0.0,0.0,-0.024768755,0.0,0.0,0.0
2026-05-11 04:30:00,0.0,0.022472939,0.013801709,0.0,0.0,0.0,-0.039649896,0.0,0.0,0.0
2026-05-11 04:40:00,0.0,0.022472862,0.013801664,0.0,0.0,0.0,0.03249498,0.0,0.0,0.0
