time,rain,water_1,water_2,water_3,flow_1,flow_2,flow_3,storage_1,storage_2,storage_3
2026-05-11 00:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 02:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 03:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 04:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 05:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 06:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
